ts_unix,gpu_util_percent,gpu_mem_mb
1767362271.0780327,0.0,4716
1767362271.5793478,0.0,4716
1767362272.0806866,0.0,4716
1767362272.5820022,0.0,4716
1767362273.0833287,0.0,4716
1767362273.584585,0.0,4716
1767362274.085923,0.0,4716
1767362274.587188,0.0,4716
1767362275.088527,0.0,4716
1767362275.5898156,0.0,4716
1767362276.091173,0.0,4716
1767362276.5924745,0.0,4716
1767362277.0938509,0.0,4716
1767362277.5951364,0.0,4716
1767362278.0964792,0.0,4716
1767362278.5977714,0.0,4716
1767362279.0991178,0.0,4716
1767362279.6004405,0.0,4716
1767362280.1017923,0.0,4716
1767362280.6032178,0.0,4716
1767362281.104783,0.0,4716
1767362281.6062808,0.0,4716
1767362282.1079926,0.0,4716
1767362282.609552,0.0,4716
1767362283.111131,0.0,4716
1767362283.6124732,0.0,4716
1767362284.1139817,0.0,4716
1767362284.6155107,0.0,4716
1767362285.1170347,0.0,4716
1767362285.6185079,0.0,4716
1767362286.1200788,0.0,4716
1767362286.6213737,0.0,4716
1767362287.122896,0.0,4716
1767362287.6242018,0.0,4716
1767362288.1257565,0.0,4716
1767362288.6272225,0.0,4716
1767362289.128728,0.0,4716
1767362289.630215,0.0,4716
1767362290.1317635,0.0,4716
1767362290.6330404,0.0,4716
1767362291.1344182,0.0,4716
1767362291.6356885,0.0,4716
1767362292.1372242,0.0,4716
1767362292.6386938,0.0,4716
1767362293.1402147,0.0,4716
1767362293.6416786,0.0,4716
1767362294.1431777,0.0,4716
1767362294.644575,0.0,4716
1767362295.1461234,0.0,4716
1767362295.647643,0.0,4716
1767362296.1490934,0.0,4716
1767362296.6505344,0.0,4716
1767362297.151932,0.0,4716
1767362297.653366,0.0,4716
1767362298.154988,0.0,4716
1767362298.6562848,0.0,4716
1767362299.1578934,0.0,4716
1767362299.6593487,0.0,4716
1767362300.1607661,0.0,4716
1767362300.6622505,0.0,4716
1767362301.1637053,0.0,4716
1767362301.6649823,0.0,4716
1767362302.1663032,0.0,4716
1767362302.6676025,0.0,4716
1767362303.1689663,0.0,4716
1767362303.670281,0.0,4716
1767362304.1716034,0.0,4716
1767362304.672903,0.0,4716
1767362305.1742735,0.0,4716
1767362305.6756163,0.0,4716
1767362306.1769226,0.0,4716
1767362306.6781743,0.0,4716
1767362307.1795268,0.0,4716
1767362307.6808007,0.0,4716
1767362308.1821208,0.0,4716
1767362308.6833606,0.0,4716
1767362309.1846607,0.0,4716
1767362309.685963,0.0,4716
1767362310.1873083,0.0,4716
1767362310.6886091,0.0,4716
1767362311.1899498,0.0,4716
1767362311.6912422,0.0,4716
1767362312.192616,0.0,4716
1767362312.6939032,0.0,4716
1767362313.195203,0.0,4716
1767362313.6964695,0.0,4716
1767362314.1977892,0.0,4716
1767362314.6990738,0.0,4716
1767362315.2004282,0.0,4716
1767362315.7017298,0.0,4716
1767362316.2030709,0.0,4716
1767362316.704363,0.0,4716
1767362317.2056751,0.0,4716
1767362317.7069504,0.0,4716
1767362318.208283,0.0,4716
1767362318.7095647,0.0,4716
1767362319.210888,0.0,4716
1767362319.7121675,0.0,4716
1767362320.2134924,0.0,4716
1767362320.714762,0.0,4716
1767362321.216108,0.0,4716
1767362321.7174015,0.0,4716
1767362322.2187393,0.0,4716
1767362322.7200327,0.0,4716
1767362323.2213504,0.0,4716
1767362323.7226117,0.0,4716
1767362324.223949,0.0,4716
1767362324.7252672,0.0,4716
1767362325.2266204,0.0,4716
1767362325.2609978,0.0,4716
