ts_unix,cpu_percent,mem_used_mb,mem_total_mb
1767362267.4781666,0.2,6072,31722
1767362267.9784935,0.2,6072,31722
1767362268.4788165,1.3,6073,31722
1767362268.9791396,0.0,6073,31722
1767362269.4794762,0.5,6073,31722
1767362269.979778,0.5,6073,31722
1767362270.480092,1.8,6074,31722
1767362270.9804564,0.3,6074,31722
1767362271.4807703,0.0,6074,31722
1767362271.981079,0.5,6074,31722
1767362272.481396,1.3,6075,31722
1767362272.981727,0.5,6075,31722
1767362273.4820266,0.0,6075,31722
1767362273.9823318,0.0,6075,31722
1767362274.4826221,1.7,6075,31722
1767362274.98292,0.0,6075,31722
1767362275.4831955,0.0,6075,31722
1767362275.9834847,0.5,6075,31722
1767362276.483767,1.5,6076,31722
1767362276.9840765,0.2,6076,31722
1767362277.484434,0.0,6076,31722
1767362277.9847147,0.0,6076,31722
1767362278.4849937,1.5,6077,31722
1767362278.9852874,0.5,6077,31722
1767362279.485632,0.0,6077,31722
1767362279.9859009,0.0,6077,31722
1767362280.4861887,0.3,6077,31722
1767362280.9864793,2.0,6077,31722
1767362281.4867814,0.3,6077,31722
1767362281.9870808,0.0,6077,31722
1767362282.4873774,0.2,6077,31722
1767362282.9876702,1.3,6077,31722
1767362283.4879925,0.3,6077,31722
1767362283.9883401,0.2,6077,31722
1767362284.488647,0.0,6077,31722
1767362284.9889326,1.5,6077,31722
1767362285.489237,0.0,6077,31722
1767362285.9895563,0.2,6077,31722
1767362286.4898708,0.3,6077,31722
1767362286.9901779,1.3,6078,31722
1767362287.4905124,0.2,6078,31722
1767362287.990822,0.2,6078,31722
1767362288.4911435,0.0,6078,31722
1767362288.991467,1.8,6078,31722
1767362289.4917731,0.0,6078,31722
1767362289.9920688,0.0,6078,31722
1767362290.4923768,0.2,6078,31722
1767362290.9926634,1.3,6079,31722
1767362291.492963,0.3,6079,31722
1767362291.99327,0.2,6079,31722
1767362292.4935982,0.2,6079,31722
1767362292.9938948,1.5,6080,31722
1767362293.4941945,0.2,6080,31722
1767362293.994526,0.0,6080,31722
1767362294.494842,0.2,6080,31722
1767362294.9951386,1.5,6081,31722
1767362295.4954488,0.2,6081,31722
1767362295.9957345,0.0,6081,31722
1767362296.4960394,0.2,6081,31722
1767362296.9963639,1.5,6080,31722
1767362297.496697,0.3,6080,31722
1767362297.9970047,0.0,6080,31722
1767362298.4973328,0.3,6080,31722
1767362298.9976497,1.3,6080,31722
1767362299.4979496,0.5,6080,31722
1767362299.9982545,0.0,6080,31722
1767362300.4985745,0.0,6080,31722
1767362300.9988863,0.5,6080,31722
1767362301.4991896,1.0,6080,31722
1767362301.99951,0.5,6080,31722
1767362302.4998033,0.0,6080,31722
1767362303.000108,0.0,6080,31722
1767362303.5004487,1.8,6081,31722
1767362304.0007765,0.0,6080,31722
1767362304.5011036,0.0,6080,31722
1767362305.0014453,0.3,6080,31722
1767362305.5017512,1.5,6081,31722
1767362306.0020473,0.3,6081,31722
1767362306.502354,0.0,6081,31722
1767362307.0026712,1.8,6080,31722
1767362307.5029771,1.7,6080,31722
1767362308.0032775,0.0,6081,31722
1767362308.5035923,0.0,6081,31722
1767362309.0038867,0.2,6081,31722
1767362309.5041978,1.5,6081,31722
1767362310.004557,0.0,6081,31722
1767362310.5048711,0.3,6081,31722
1767362311.005184,0.2,6081,31722
1767362311.5055296,1.5,6081,31722
1767362312.005844,0.3,6081,31722
1767362312.506152,0.0,6081,31722
1767362313.0064626,0.5,6081,31722
1767362313.506762,1.5,6081,31722
1767362314.007058,0.0,6081,31722
1767362314.5073562,0.2,6081,31722
1767362315.0076478,0.2,6081,31722
1767362315.5079467,1.3,6081,31722
1767362316.0082521,0.0,6081,31722
1767362316.5085807,0.5,6081,31722
1767362317.0088842,0.0,6081,31722
1767362317.5091915,1.5,6082,31722
1767362318.009532,0.2,6082,31722
1767362318.509819,0.2,6082,31722
1767362319.0101137,0.0,6082,31722
1767362319.5104334,1.5,6083,31722
1767362320.0107327,0.3,6082,31722
1767362320.5110526,0.0,6082,31722
1767362321.0113707,0.2,6082,31722
1767362321.5116832,0.8,6083,31722
1767362322.0119817,1.0,6086,31722
1767362322.5122843,0.0,6086,31722
1767362323.0126107,0.2,6087,31722
1767362323.5129104,0.0,6087,31722
1767362324.0132153,1.5,6089,31722
1767362324.5135496,0.2,6089,31722
1767362325.0138502,0.2,6089,31722
1767362325.261026,0.0,6089,31722
